SKU,SKU Description,Premium,Standard,Edge,IBM z,IBM POWER,x86,Platform Plus,Container Platform,Engine,Physical,Virtual,Runtimes,Application Foundations,Data Foundation,Distributed Computing,Windows,Include in Data,Licensing Model,,Currency,Monthly MSRP,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MCT3945,"Red Hat Advanced Cluster Management for Kubernetes, Premium  (2 Core or 4 vCPU)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,690,1863,RHACM,,2,,PREMIUM,0,CORE BAND,MCT3945F3
MCT3946,"Red Hat Advanced Cluster Management for Kubernetes, Standard  (2 Core or 4 vCPU)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,466,1257.53,RHACM,,2,,STANDARD,0,CORE BAND,MCT3946F3
MCT4023,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,2070,5589,RHACM,2,,,PREMIUM,0,PHYSICAL NODE,MCT4023F3
MCT4024,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,1380,3726,RHACM,2,,,STANDARD,0,PHYSICAL NODE,MCT4024F3
MCT4208,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Device), Premium (1-2 sockets)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,414,1117.8,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MCT4208F3
MCT4211,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Device), Standard (1-2 sockets)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,276,745.2,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MCT4211F3
MCT4209,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Premium (1-2 sockets)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,621,1676.7,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MCT4209F3
MCT4210,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Standard (1-2 sockets)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,414,1117.8,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MCT4210F3
MCT3970,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Device), Premium (2 Core or 4 vCPU)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,138,372.6,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MCT3970F3
MCT3971,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Device), Standard (2 Core or 4 vCPU)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,97,260.82,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MCT3971F3
MCT3968,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server), Premium  (2 Core or 4 vCPU)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,207,558.9,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MCT3968F3
MCT3969,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Edge Server), Standard  (2 Core or 4 vCPU)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,138,372.6,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MCT3969F3
MW01659,"Red Hat Advanced Cluster Security for Kubernetes, Premium (2 Cores or 4 VCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,518,1397.25,Advanced Cluster Security,,2,,PREMIUM,0,CORE BAND,MW01659F3
MW01660,"Red Hat Advanced Cluster Security for Kubernetes, Standard (2 Cores or 4 VCPUs)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,345,931.5,Advanced Cluster Security,,2,,STANDARD,0,CORE BAND,MW01660F3
MW01661,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,1552,4191.75,Advanced Cluster Security,2,,,PREMIUM,0,PHYSICAL NODE,MW01661F3
MW01662,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,1035,2794.5,Advanced Cluster Security,2,,,STANDARD,0,PHYSICAL NODE,MW01662F3
MW01865,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Device), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,311,838.35,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MW01865F3
MW01866,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Device), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,207,558.9,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MW01866F3
MW01863,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Edge Server), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,466,1257.53,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MW01863F3
MW01864,"Red Hat Advanced Cluster Security for Kubernetes (Bare Metal Node) for Distributed Computing (Edge Server), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,311,838.35,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MW01864F3
MW02404,"Red Hat Advanced Cluster Security for Kubernetes - Cloud Service Add-on, Premium (2 Cores or 4 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,35,93.15,Advanced Cluster Security,,2,,PREMIUM,,CORE BAND,MW02404F3
MW02405,"Red Hat Advanced Cluster Security for Kubernetes - Cloud Service Add-on, Premium (1-2 Sockets)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,103,279.45,Advanced Cluster Security,2,,,PREMIUM,,PHYSICAL NODE,MW02405F3
MW01862,"Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Device), Standard (2 Cores or 4 VCPUs)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,69,186.3,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MW01862F3
MW01869,"Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Device), Premium (2 Cores or 4 VCPUs)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,103,279.45,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MW01869F3
MW01867,"Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Edge Server), Premium (2 Cores or 4 VCPUs)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,155,419.18,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MW01867F3
MW01868,"Red Hat Advanced Cluster Security for Kubernetes for Distributed Computing (Edge Server), Standard (2 Cores or 4 VCPUs)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,103,279.45,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MW01868F3
MW02306,"Red Hat Advanced Cluster Security for Kubernetes for IBM Power LE, Premium (2 Cores)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,1552,4191.75,Advanced Cluster Security,,2,,PREMIUM,,CORE BAND,MW02306F3
MW02307,"Red Hat Advanced Cluster Security for Kubernetes for IBM Power LE, Standard (2 Cores)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,1035,2794.5,Advanced Cluster Security,,2,,STANDARD,,CORE BAND,MW02307F3
MW02308,"Red Hat Advanced Cluster Security for Kubernetes for IBM zSystems and IBM LinuxONE, Premium (1 Core)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,776,2095.88,Advanced Cluster Security,,1,,PREMIUM,,CORE BAND,MW02308F3
MW02309,"Red Hat Advanced Cluster Security for Kubernetes for IBM zSystems and IBM LinuxONE, Standard (1 Core)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,518,1397.25,Advanced Cluster Security,,1,,STANDARD,,CORE BAND,MW02309F3
MW02577,"Red Hat Device Edge, Premium (1 socket up to 32 cores)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,195,527.23,Edge OpenShift,1,,,PREMIUM,,PHYSICAL NODE,MW02577F3
MW02581,"Red Hat Device Edge, Standard (1 socket up to 32 cores)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,130,352.11,Edge OpenShift,1,,,STANDARD,,PHYSICAL NODE,MW02581F3
MW02240,"Red Hat Device Edge Essentials, Premium (1 socket up to 32 cores)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,161,434.08,Edge OpenShift,1,,,PREMIUM,,PHYSICAL NODE,MW02240F3
MW02241,"Red Hat Device Edge Essentials, Standard (1 socket up to 32 cores)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,103,277.59,Edge OpenShift,1,,,STANDARD,,PHYSICAL NODE,MW02241F3
MW01465,"Red Hat OpenShift Container Platform, Standard (2 Cores or 4 vCPUs, for Windows)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cores,,GBP,,276,745.2,OPENSHIFT,,2,,STANDARD,0,CORE BAND,MW01465F3
MW01615,"Red Hat OpenShift Container Platform, Premium (2 Cores or 4 vCPUs, for Windows)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Cores,,GBP,,366,987.39,OPENSHIFT,,2,,PREMIUM,0,CORE BAND,MW01615F3
MW01501,"Red Hat OpenShift Container Platform (Bare Metal Node), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,8280,22356,OPENSHIFT,2,,,PREMIUM,0,PHYSICAL NODE,MW01501F3
MW01502,"Red Hat OpenShift Container Platform (Bare Metal Node), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,5520,14904,OPENSHIFT,2,,,STANDARD,0,PHYSICAL NODE,MW01502F3
MW01870,"Red Hat OpenShift Container Platform (Bare Metal Node) for Distributed Computing (Device), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,1656,4471.2,OPENSHIFT,2,,,PREMIUM,0,PHYSICAL NODE,MW01870F3
MW01872,"Red Hat OpenShift Container Platform (Bare Metal Node) for Distributed Computing (Device), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,1104,2980.8,OPENSHIFT,2,,,STANDARD,0,PHYSICAL NODE,MW01872F3
MW01871,"Red Hat OpenShift Container Platform (Bare Metal Node) for Distributed Computing (Edge Server), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,1656,4471.2,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MW01871F3
MW01873,"Red Hat OpenShift Container Platform (Bare Metal Node) for Distributed Computing (Edge Server), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,2484,6706.8,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MW01873F3
MCT2735,Red Hat OpenShift Container Platform Premium (2 Cores or 4 vCPUs),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,2760,7452,OPENSHIFT,,2,0,PREMIUM,0,CORE BAND,MCT2735F3
MCT2736,Red Hat OpenShift Container Platform Standard (2 Cores or 4 vCPUs),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,1863,5030.1,OPENSHIFT,,2,0,STANDARD,0,CORE BAND,MCT2736F3
MW01384,"Red Hat OpenShift Container Platform for Distributed Computing (Device), Premium (2 Cores or 4 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,552,1490.4,OPENSHIFT,,2,,PREMIUM,0,CORE BAND,MW01384F3
MW01385,"Red Hat OpenShift Container Platform for Distributed Computing (Device), Standard (2 Cores or 4 vCPUs)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,373,1006.02,OPENSHIFT,,2,,STANDARD,0,CORE BAND,MW01385F3
MW01382,"Red Hat OpenShift Container Platform for Distributed Computing (Edge Server), Premium (2 Cores or 4 vCPUs)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,828,2235.6,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MW01382F3
MW01383,"Red Hat OpenShift Container Platform for Distributed Computing (Edge Server), Standard (2 Cores or 4 vCPUs)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,559,1509.03,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MW01383F3
MW00421,"Red Hat OpenShift Container Platform for IBM Power, LE, Premium (2 Cores)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,2760,7452,OPENSHIFT,,2,,PREMIUM,0,CORE BAND,MW00421F3
MW00422,"Red Hat OpenShift Container Platform for IBM Power, LE, Standard (2 Cores)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,1863,5030.1,OPENSHIFT,,2,,STANDARD,0,CORE BAND,MW00422F3
MW00782,"Red Hat OpenShift Container Platform for IBM zSystems and IBM LinuxONE, Premium (1 Core)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,GBP,,1380,3726,OPENSHIFT,,1,,PREMIUM,,IFL,MW00782F3
MW00783,"Red Hat OpenShift Container Platform for IBM zSystems and IBM LinuxONE, Standard (1 Core)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,GBP,,931,2515.05,OPENSHIFT,,1,,STANDARD,,IFL,MW00783F3
MW00448,"Red Hat OpenShift Container Platform with Application Foundations, Premium, (2 Cores or 4 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,6486,17512.2,OCP & MW INTEGRATION BUNDLE,,2,,PREMIUM,0,CORE BAND,MW00448F3
MW00449,"Red Hat OpenShift Container Platform with Application Foundations, Premium, (16 Cores or 32 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,51888,140097.6,OCP & MW INTEGRATION BUNDLE,0,16,0,PREMIUM,0,CORE BAND,MW00449F3
MW00450,"Red Hat OpenShift Container Platform with Application Foundations, Premium, (64 Cores or 128 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,195629,528197.76,OCP & MW INTEGRATION BUNDLE,0,64,0,PREMIUM,0,CORE BAND,MW00450F3
MW00451,"Red Hat OpenShift Container Platform with Application Foundations, Standard (2 Cores or 4 vCPUs)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,4347,11736.9,OCP & MW INTEGRATION BUNDLE,,2,,STANDARD,0,CORE BAND,MW00451F3
MW00452,"Red Hat OpenShift Container Platform with Application Foundations, Standard (16 Cores or 32 vCPUs)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,34776,93895.2,OCP & MW INTEGRATION BUNDLE,0,16,0,STANDARD,0,CORE BAND,MW00452F3
MW00453,"Red Hat OpenShift Container Platform with Application Foundations, Standard (64 Cores or 128 vCPUs)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,131155,354119.04,OCP & MW INTEGRATION BUNDLE,0,64,0,STANDARD,0,CORE BAND,MW00453F3
MW00361,"Red Hat OpenShift Container Platform with Runtimes, Premium, (2 Cores or 4 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,3795,10246.5,OCP & MW RUNTIMES BUNDLE,,2,,PREMIUM,0,CORE BAND,MW00361F3
MW00362,"Red Hat OpenShift Container Platform with Runtimes, Premium, (16 Cores or 32 vCPUs)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,30360,81972,OCP & MW RUNTIMES BUNDLE,0,16,0,PREMIUM,0,CORE BAND,MW00362F3
